OID,StopUID,StopID,StopName,StopNameEn,StopAddres,StationID,StopDescri,Updatetime,ProvCode,Lon,Lat,UniqueID
-1,KHH10001211322,10001211322,北草衙,North Caoya, ,3544, ,2024/10/30,KHH,22.580653,120.322917,B1E0010069V090
-1,KHH10001212092,10001212092,泰山里,Taishan Village, ,3628, ,2024/10/30,KHH,22.573137,120.364328,B1E0010069V090
-1,KHH10001219912,10001219912,光華路口(中山三路),Guanghua Rd. Intersection(Jhongshan 3rd Rd.), ,3531, ,2024/10/30,KHH,22.602434,120.310677,B1E0010069V090
-1,KHH1000129761,1000129761,民益路,Minyi Rd., ,3746, ,2024/10/30,KHH,22.567247,120.348043,B1E0010069V090
-1,KHH1000129871,1000129871,青山國小,Chingshan Primary School, ,3625, ,2024/10/30,KHH,22.573068,120.362103,B1E0010069V090
-1,KHH10001641551,10001641551,裕誠路口(華榮路),Yucheng Rd. Intersection(Huarong Rd.), ,3830, ,2024/10/30,KHH,22.666227,120.296769,B1E0010069V090
-1,KHH10001644161,10001644161,新光國小,Singuang Elementary School, ,3820, ,2024/10/30,KHH,22.680678,120.304532,B1E0010069V090
-1,KHH10001652702,10001652702,大樂民族店,Dollars Mall(Minzu Store), ,2695, ,2024/10/30,KHH,22.659765,120.314745,B1E0010069V090
-1,KHH10002383381,10002383381,坔埔,Dipu, ,1300, ,2024/10/30,KHH,22.6582,120.384868,B1E0010069V090
-1,KHH10002383482,10002383482,仁美,Renmei, ,5019, ,2024/10/30,KHH,22.655508,120.394033,B1E0010069V090
-1,KHH10002383351,10002383351,仁美國小,Ren-Mei Elementary School, ,1307, ,2024/10/30,KHH,22.65824,120.393457,B1E0010069V090
-1,KHH100024105392,1.00024E+11,慈育街口,Cihyu St. Intersection, ,4420, ,2024/10/30,KHH,22.669666,120.360383,B1E0010069V090
-1,KHH100024123092,1.00024E+11,圓照寺,Yuanjhao Temple, ,4800, ,2024/10/30,KHH,22.662891,120.382431,B1E0010069V090
-1,KHH10002484502,10002484502,登發國小,DengFa Elementary School, ,5015, ,2024/10/30,KHH,22.67952,120.354585,B1E0010069V090
-1,KHH1000252302,1000252302,高雄女中(成功一路),Kaohsiung Girls' Senior High School(Chenggong 1st Rd.), ,3575, ,2024/10/30,KHH,22.622355,120.294327,B1E0010069V090
-1,KHH10002446352,10002446352,天祥路口(民族一路),Tiansiang Rd. Intersection(Minzu 1st Rd.), ,43, ,2024/10/30,KHH,22.667771,120.317048,B1E0010069V090
